Sr. No.,Date,Order Weight ,Tile Dimensions,Vehicle Type,Drop Location,Warehouse No.,Dispatch Time,Drop Time,Return Time
1,21,750,16X16,Tempo,Paldi,3,09:00,09:50:00,10:45:00
2,21,5,2x1,Pickup,Sargasan,6,10:00:00,10:40:00,11:35:00
3,21,700,12X8,Tempo,Randheja,1,09:15:00,09:50:00,10:20:00
4,21,18,4X2,Truck,Sargasan,6,03:00:00,03:50:00,04:10:00
5,21,5,2x2,Pickup,Navrangpura,1,11:00:00,11:55:00,12:45:00
6,21,23,8X4,Truck,Sector 3C,6,03:15:00,04:00:00,04:30:00
7,21,19,4X4,Truck,Pethapur,7,03:15:00,04:20:00,05:00:00
8,21,900,12X12,Tempo,Sabarmati,7,00:00:00,09:50:00,10:35:00
9,21,6,2x2,Pickup,Paldi,1,11:15:00,12:05:00,01:05:00
10,21,21,8X4,Truck,Kudasan,7,03:40:00,04:40:00,05:15:00
11,21,20,6x4,Truck,Jodhpur Gaam,4,04:15:00,05:00:00,05:55:00
12,21,22,4X2,Truck,Gota,5,04:30:00,05:45:00,06:30:00
13,21,800,16X16,Tempo,Sector 7,4,00:00:00,10:25:00,10:50:00
14,21,21,4X4,Truck,Vavol,1,04:30:00,05:20:00,05:55:00
15,21,5,2x2,Pickup,Sector 11,4,11:50:00,12:20:00,12:45:00
16,21,21,8X4,Truck,PDPU,7,04:30:00,05:20:00,06:00:00
17,21,19,8X4,Truck,Randesan,3,04:45:00,06:00:00,06:45:00
18,22,917,16X16,Tempo,Shilaj,5,09:00:00,10:45:00,12:00:00
19,22,24,6x4,Truck,Motera,8,03:00:00,04:45:00,05:40:00
20,22,6,2x2,Pickup,Vavol,3,10:20:00,10:50:00,11:40:00
21,22,974,12X18,Tempo,Satellite,4,09:15:00,10:30:00,11:45:00
22,22,25,4X2,Truck,Sargasan,5,03:00:00,04:00:00,04:40:00
23,22,6,2x1,Pickup,Sector 2,1,11:35:00,12:00:00,12:45:00
24,22,25,8X4,Truck,Navrangpura,7,03:10:00,04:40:00,05:30:00
25,22,25,4X4,Truck,Randheja,7,03:30:00,04:20:00,04:55:00
26,22,605,12X12,Tempo,Sola,7,10:20:00,11:10:00,12:00:00
27,22,18,4X2,Truck,Bodakdev,8,04:00:00,05:10:00,06:00:00
28,22,25,8X4,Truck,Sector 8,2,04:15:00,05:25:00,06:00:00
29,22,23,8X4,Truck,Shilaj,2,04:30:00,05:30:00,06:45:00
30,22,22,4X2,Truck,PDPU,1,04:30:00,05:50:00,06:30:00
31,22,5,2x2,Pickup,Randheja,1,11:40:00,12:15:00,12:55:00
32,22,790,16X16,Tempo,Kudasan,2,10:45:00,11:15:00,12:00:00
33,22,22,4X4,Truck,Kudasan,8,04:45:00,05:55:00,06:30:00
34,22,18,6x4,Truck,Naranpura,5,04:50:00,06:30:00,07:15:00
35,22,23,4X2,Truck,Sargasan,7,05:00:00,06:20:00,06:55:00
36,22,697,12X12,Tempo,Sector 30,1,11:00:00,11:25:00,11:50:00
37,22,22,8X4,Truck,Vavol,6,05:00:00,06:10:00,06:55:00
38,22,19,6x4,Truck,CG Road,5,05:00:00,06:30:00,07:45:00
39,22,7,2x1,Pickup,Randheja,6,11:50:00,12:20:00,12:55:00
40,22,724,16x16,Tempo,Sector 1A,8,11:15:00,12:00:00,12:45:00
41,22,25,4X4,Truck,PDPU Road,1,05:15:00,06:10:00,06:50:00
